"Plot Title: EASY04911_12_CO_Flow_Temp_Hobo"
"#","Date Time, GMT-05:00","Volt, V (LGR S/N: 10940301, SEN S/N: 10940301, LBL: EZB CO wkg)","Volt, V (LGR S/N: 10940301, SEN S/N: 10940301, LBL: EZB CO aux)","Volt, V (LGR S/N: 10940301, SEN S/N: 10940301, LBL: Flow)","Volt, V (LGR S/N: 10940301, SEN S/N: 10940301, LBL: CO High)","Host Connected (LGR S/N: 10940301)","End Of File (LGR S/N: 10940301)"
1,11/14/24 01:43:19 PM,0.00004,0.00004,0.00004,0.00037,,
2,11/14/24 01:43:20 PM,0.00004,0.00004,0.00004,0.00037,,
3,11/14/24 01:43:21 PM,0.00004,0.00004,0.00004,0.00037,,
4,11/14/24 01:43:22 PM,0.00004,0.00004,0.00004,0.00037,,
5,11/14/24 01:43:23 PM,0.00004,0.00004,0.00004,0.00037,,
6,11/14/24 01:43:24 PM,0.00004,0.00004,0.00004,0.00037,,
7,11/14/24 01:43:25 PM,0.00004,0.00004,0.00004,0.00037,,
8,11/14/24 01:43:26 PM,0.00004,0.00004,0.00004,0.00037,,
9,11/14/24 01:43:27 PM,0.00004,0.00004,0.00004,0.00037,,
10,11/14/24 01:43:28 PM,0.00004,0.00004,0.00004,0.00037,,
11,11/14/24 01:43:29 PM,0.00004,0.00004,0.00004,0.00037,,
12,11/14/24 01:43:30 PM,0.00004,0.00004,0.00004,0.00037,,
13,11/14/24 01:43:31 PM,0.00004,0.00004,0.00004,0.00037,,
14,11/14/24 01:43:32 PM,0.00004,0.00004,0.00004,0.00037,,
15,11/14/24 01:43:33 PM,0.00004,0.00004,0.00004,0.00037,,
16,11/14/24 01:43:34 PM,0.00004,0.00004,0.00004,0.00037,,
17,11/14/24 01:43:35 PM,0.00004,0.00004,0.00004,0.00037,,
18,11/14/24 01:43:36 PM,0.00004,0.00004,0.00004,0.00037,,
19,11/14/24 01:43:37 PM,0.00004,0.00004,0.00004,0.00037,,
20,11/14/24 01:43:38 PM,0.00004,0.00004,0.00004,0.00037,,
21,11/14/24 01:43:39 PM,0.00004,0.00004,0.00004,0.00037,,
22,11/14/24 01:43:40 PM,0.00004,0.00004,0.00004,0.00037,,
23,11/14/24 01:43:41 PM,0.00004,0.00004,0.00004,0.00037,,
24,11/14/24 01:43:42 PM,0.00004,0.00004,0.00004,0.00037,,
25,11/14/24 01:43:43 PM,0.00004,0.00004,0.00004,0.00037,,
26,11/14/24 01:43:44 PM,0.00004,0.00004,0.00004,0.00037,,
27,11/14/24 01:43:45 PM,0.00004,0.00004,0.00004,0.00037,,
28,11/14/24 01:43:46 PM,0.00004,0.00004,0.00004,0.00037,,
29,11/14/24 01:43:47 PM,0.00004,0.00004,0.00004,0.00037,,
30,11/14/24 01:43:48 PM,0.00004,0.00004,0.00004,0.00037,,
31,11/14/24 01:43:49 PM,0.00004,0.00004,0.00004,0.00037,,
